lid,name,street,additional,city,province,postal_code,country,latitude,longitude
3151, AMC Barton Creek Square 14 & IMAX ,2901 S Capital of Texas Hwy,,austin,TX,78746,us,30.256297,-97.808652
123, American Botanical Council,6200 Manor Rd,,Austin,TX,,us,0,0
2247, First Unitarian Universalist Church of Austin,4700 Grover St ,,Austin,TX,78756,us,30.317683,-97.738152
2831, HBA Phillips Event Center, 8140 Exchange Drive ,,Austin,TX,78754,us,30.331258,-97.674324
2392, Hill Country Natives nursery,308 Mesa Oaks,,Leander,TX,78641,us,30.564806,-97.92206
2629, International Center of Austin (ICA),201E. 2nd St.,,Austin,,78701,us,30.263719,-97.742374
2490, J.J. Pickle Research Campus ,10100 Burnet Rd,Building EME 133,,,,us,30.385589,-97.723613
179," KO.OP, 91.7 FM non-commercial RADIO",,,,,,us,0,0
3220, Terrazas Branch of the Austin Public Library ,1105 E. Cesar Chavez,,Austin,TX,,us,30.259907,-97.73344
121, Various locations along Lady Bird Lake,,,,,,us,0,0
